0	latitude	longitude	diurnal
333	36.0171	-121.4525	50383.5
334	36.0171	-121.4522	50383.5
335	36.0171	-121.4516	50383.5
336	36.0171	-121.4511	50383.5
337	36.0171	-121.4508	50383.5
338	36.0171	-121.4502	50383.5
339	36.0171	-121.4497	50383.5
340	36.0171	-121.4491	50383.5
341	36.0171	-121.4488	50383.5
342	36.0171	-121.4483	50383.5
343	36.0171	-121.4477	50383.5
344	36.0171	-121.4475	50383.5
345	36.0171	-121.4469	50383.5
346	36.0171	-121.4463	50383.5
347	36.0171	-121.4458	50383.5
348	36.0172	-121.4455	50383.5
349	36.0172	-121.4450	50383.5
350	36.0172	-121.4444	50383.5
351	36.0172	-121.4441	50383.5
352	36.0172	-121.4436	50383.5
353	36.0172	-121.4430	50383.4
354	36.0172	-121.4427	50383.4
355	36.0172	-121.4422	50383.4
356	36.0172	-121.4416	50383.4
357	36.0172	-121.4411	50383.4
358	36.0172	-121.4408	50383.4
359	36.0172	-121.4402	50383.4
360	36.0172	-121.4397	50383.4
361	36.0172	-121.4394	50383.4
362	36.0172	-121.4388	50383.4
363	36.0172	-121.4383	50383.4
364	36.0172	-121.4377	50383.4
365	36.0172	-121.4375	50383.4
366	36.0172	-121.4369	50383.4
367	36.0172	-121.4363	50383.4
368	36.0172	-121.4361	50383.4
369	36.0173	-121.4355	50383.4
370	36.0173	-121.4350	50383.4
371	36.0173	-121.4347	50383.4
372	36.0173	-121.4341	50383.4
373	36.0173	-121.4336	50383.4
374	36.0173	-121.4330	50383.4
375	36.0173	-121.4327	50383.3
376	36.0173	-121.4322	50383.3
377	36.0173	-121.4316	50383.3
378	36.0173	-121.4313	50383.3
379	36.0173	-121.4308	50383.3
380	36.0173	-121.4302	50383.3
381	36.0173	-121.4297	50383.3
382	36.0173	-121.4294	50383.3
383	36.0173	-121.4288	50383.3
384	36.0173	-121.4283	50383.3
385	36.0173	-121.4280	50383.3
386	36.0173	-121.4275	50383.3
387	36.0173	-121.4269	50383.3
388	36.0173	-121.4266	50383.3
389	36.0173	-121.4261	50383.3
390	36.0173	-121.4255	50383.3
391	36.0174	-121.4250	50383.3
392	36.0174	-121.4247	50383.3
393	36.0174	-121.4241	50383.3
394	36.0174	-121.4236	50383.3
395	36.0174	-121.4233	50383.3
396	36.0174	-121.4227	50383.3
397	36.0174	-121.4222	50383.2
398	36.0174	-121.4216	50383.2
399	36.0174	-121.4213	50383.2
400	36.0174	-121.4208	50383.2
401	36.0174	-121.4202	50383.2
402	36.0174	-121.4200	50383.2
403	36.0174	-121.4194	50383.2
404	36.0174	-121.4188	50383.2
405	36.0174	-121.4183	50383.2
406	36.0174	-121.4180	50383.2
407	36.0174	-121.4175	50383.2
408	36.0174	-121.4169	50383.2
409	36.0174	-121.4166	50383.2
410	36.0174	-121.4161	50383.2
411	36.0174	-121.4155	50383.2
412	36.0174	-121.4152	50383.2
413	36.0174	-121.4147	50383.2
414	36.0175	-121.4141	50383.2
415	36.0175	-121.4136	50383.2
416	36.0175	-121.4133	50383.2
417	36.0175	-121.4127	50383.2
418	36.0175	-121.4122	50383.2
419	36.0175	-121.4119	50383.2
420	36.0175	-121.4113	50383.2
421	36.0175	-121.4108	50383.1
422	36.0175	-121.4102	50383.1
423	36.0175	-121.4100	50383.1
424	36.0175	-121.4094	50383.1
425	36.0175	-121.4088	50383.1
426	36.0175	-121.4086	50383.1
427	36.0175	-121.4080	50383.1
428	36.0175	-121.4075	50383.1
429	36.0175	-121.4072	50383.1
430	36.0175	-121.4066	50383.1
431	36.0175	-121.4061	50383.1
432	36.0175	-121.4055	50383.1
433	36.0175	-121.4052	50383.1
434	36.0175	-121.4047	50383.1
435	36.0175	-121.4041	50383.1
436	36.0176	-121.4038	50383.1
437	36.0176	-121.4033	50383.1
438	36.0176	-121.4027	50383.1
439	36.0176	-121.4022	50383.1
440	36.0176	-121.4019	50383.1
441	36.0176	-121.4013	50383.1
442	36.0176	-121.4008	50383.1
443	36.0176	-121.4005	50383.1
444	36.0176	-121.4000	50383.1
445	36.0176	-121.3994	50383.0
446	36.0176	-121.3991	50383.0
447	36.0176	-121.3986	50383.0
448	36.0176	-121.3980	50383.0
449	36.0176	-121.3975	50383.0
450	36.0176	-121.3972	50383.0
451	36.0176	-121.3966	50383.0
452	36.0176	-121.3961	50383.0
453	36.0176	-121.3958	50383.0
454	36.0176	-121.3952	50383.0
455	36.0176	-121.3947	50383.0
456	36.0176	-121.3941	50383.0
457	36.0176	-121.3938	50383.0
458	36.0177	-121.3933	50383.0
459	36.0177	-121.3927	50383.0
460	36.0177	-121.3925	50383.0
461	36.0177	-121.3922	50383.0
462	36.0177	-121.3916	50383.0
463	36.0177	-121.3913	50383.0
464	36.0177	-121.3911	50383.0
465	36.0177	-121.3905	50383.0
466	36.0177	-121.3902	50383.0
467	36.0177	-121.3900	50383.0
468	36.0177	-121.3894	50382.9
469	36.0177	-121.3891	50382.9
470	36.0177	-121.3888	50382.9
471	36.0177	-121.3883	50382.9
472	36.0177	-121.3880	50382.9
473	36.0178	-121.3877	50382.9
474	36.0178	-121.3872	50382.9
475	36.0178	-121.3869	50382.9
476	36.0178	-121.3866	50382.9
477	36.0178	-121.3861	50382.9
478	36.0178	-121.3858	50382.9
479	36.0178	-121.3852	50382.9
480	36.0178	-121.3850	50382.9
481	36.0178	-121.3847	50382.9
482	36.0178	-121.3841	50382.9
483	36.0178	-121.3838	50382.9
484	36.0178	-121.3836	50382.9
485	36.0178	-121.3830	50382.9
486	36.0178	-121.3827	50382.9
487	36.0178	-121.3825	50382.9
488	36.0179	-121.3819	50382.9
489	36.0179	-121.3816	50382.9
490	36.0179	-121.3813	50382.9
491	36.0179	-121.3808	50382.9
492	36.0179	-121.3805	50382.8
493	36.0179	-121.3802	50382.8
494	36.0179	-121.3797	50382.8
495	36.0179	-121.3794	50382.8
496	36.0179	-121.3791	50382.8
497	36.0179	-121.3786	50382.8
498	36.0179	-121.3783	50382.8
499	36.0179	-121.3780	50382.8
500	36.0179	-121.3775	50382.8
501	36.0179	-121.3772	50382.8
502	36.0180	-121.3769	50382.8
503	36.0180	-121.3763	50382.8
504	36.0180	-121.3761	50382.8
505	36.0180	-121.3758	50382.8
506	36.0180	-121.3752	50382.8
507	36.0180	-121.3750	50382.8
508	36.0180	-121.3747	50382.8
509	36.0180	-121.3741	50382.8
510	36.0180	-121.3738	50382.8
511	36.0180	-121.3736	50382.8
512	36.0180	-121.3730	50382.8
513	36.0180	-121.3727	50382.7
514	36.0180	-121.3722	50382.7
515	36.0180	-121.3719	50382.7
516	36.0180	-121.3716	50382.7
517	36.0181	-121.3711	50382.7
518	36.0181	-121.3708	50382.7
519	36.0181	-121.3705	50382.7
520	36.0181	-121.3700	50382.7
521	36.0181	-121.3697	50382.7
522	36.0181	-121.3694	50382.7
523	36.0181	-121.3688	50382.7
524	36.0181	-121.3686	50382.7
525	36.0181	-121.3683	50382.7
526	36.0181	-121.3677	50382.7
527	36.0181	-121.3675	50382.7
528	36.0181	-121.3672	50382.7
529	36.0181	-121.3666	50382.7
530	36.0181	-121.3663	50382.7
531	36.0181	-121.3661	50382.7
532	36.0182	-121.3655	50382.7
533	36.0182	-121.3652	50382.7
534	36.0182	-121.3650	50382.7
535	36.0182	-121.3644	50382.7
536	36.0182	-121.3641	50382.6
537	36.0182	-121.3638	50382.6
538	36.0182	-121.3633	50382.6
539	36.0182	-121.3630	50382.6
540	36.0182	-121.3627	50382.6
541	36.0182	-121.3622	50382.6
542	36.0182	-121.3619	50382.6
543	36.0182	-121.3616	50382.6
544	36.0182	-121.3611	50382.6
545	36.0182	-121.3608	50382.6
546	36.0183	-121.3605	50382.6
547	36.0183	-121.3600	50382.6
548	36.0183	-121.3597	50382.6
549	36.0183	-121.3594	50382.6
